ObjectType;Name;AdviseType;AlarmVerify;AllowRead;AllowWrite;DeviceHigh;DeviceLow;DisableIOServerPool;DocString;DriverLocation;DriverName;EnableDeadband;EnableDriverEvent;EnableReadGrouping;EnableScaling;EU;EUHigh;EULow;IsAlarmArea;N1;N2;N3;N4;P1;P2;P3;P4;ParamDevice;ParamItem;PathContainer;PathName;PathVolume;PercentDeadband;ReadRetries;Scan;ShareMaximum;ShareServer;UseBitFields;WriteFeedbackMode;WriteRetries;WriteSyncMode
IOTag;"Balcao2.TagAjustaAno2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;101;;;;;"";"";"Carel";"Carel.Balcao2.TagAjustaAno2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao2.TagAjustaMes2";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;2;1;0;102;;;;;"";"";"Carel";"Carel.Balcao2.TagAjustaMes2";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOFolder;"Balcao3";;;;;;;;"";;;;;;;;;;False;;;;;;;;;"";;"Carel";"Carel.Balcao3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";;;;;;;;;
IOTag;"Balcao3.TagTempInterna3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;2;;;;;"";"";"Carel";"Carel.Balcao3.TagTempInterna3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagHabilitaTipoOperacao3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;170;;;;;"";"";"Carel";"Carel.Balcao3.TagHabilitaTipoOperacao3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagFuncaoDisplay3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;158;;;;;"";"";"Carel";"Carel.Balcao3.TagFuncaoDisplay3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagFuncaoSensor3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;122;;;;;"";"";"Carel";"Carel.Balcao3.TagFuncaoSensor3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagOffsetSensorDois3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;12;;;;;"";"";"Carel";"Carel.Balcao3.TagOffsetSensorDois3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagOffsetSensorUm3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;11;;;;;"";"";"Carel";"Carel.Balcao3.TagOffsetSensorUm3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagTipoSensor3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;120;;;;;"";"";"Carel";"Carel.Balcao3.TagTipoSensor3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagSetAlarmeBaixo3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;19;;;;;"";"";"Carel";"Carel.Balcao3.TagSetAlarmeBaixo3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagResetalarme3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;6;0;57;;;;;"";"";"Carel";"Carel.Balcao3.TagResetalarme3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagSetAlarmeAlto3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;20;;;;;"";"";"Carel";"Carel.Balcao3.TagSetAlarmeAlto3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagSetPointTempInterna3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;4;;;;;"";"";"Carel";"Carel.Balcao3.TagSetPointTempInterna3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagStatusSaida3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;227;;;;;"";"";"Carel";"Carel.Balcao3.TagStatusSaida3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagDiaLigar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;206;;;;;"";"";"Carel";"Carel.Balcao3.TagDiaLigar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagHoraLigar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;207;;;;;"";"";"Carel";"Carel.Balcao3.TagHoraLigar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagMinutoLigar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;208;;;;;"";"";"Carel";"Carel.Balcao3.TagMinutoLigar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagDiaDesligar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;209;;;;;"";"";"Carel";"Carel.Balcao3.TagDiaDesligar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagHoraDesligar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;210;;;;;"";"";"Carel";"Carel.Balcao3.TagHoraDesligar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagMinutoDesligar3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;211;;;;;"";"";"Carel";"Carel.Balcao3.TagMinutoDesligar3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagAjustaAno3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;101;;;;;"";"";"Carel";"Carel.Balcao3.TagAjustaAno3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao3.TagAjustaMes3";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;3;1;0;102;;;;;"";"";"Carel";"Carel.Balcao3.TagAjustaMes3";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOFolder;"Balcao4";;;;;;;;"";;;;;;;;;;False;;;;;;;;;"";;"Carel";"Carel.Balcao4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";;;;;;;;;
IOTag;"Balcao4.TagTempInterna4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;2;;;;;"";"";"Carel";"Carel.Balcao4.TagTempInterna4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagResetalarme4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;6;0;57;;;;;"";"";"Carel";"Carel.Balcao4.TagResetalarme4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagHabilitaTipoOperacao4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;170;;;;;"";"";"Carel";"Carel.Balcao4.TagHabilitaTipoOperacao4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagFuncaoDisplay4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;158;;;;;"";"";"Carel";"Carel.Balcao4.TagFuncaoDisplay4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagFuncaoSensor4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;122;;;;;"";"";"Carel";"Carel.Balcao4.TagFuncaoSensor4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagOffsetSensorDois4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;12;;;;;"";"";"Carel";"Carel.Balcao4.TagOffsetSensorDois4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagOffsetSensorUm4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;11;;;;;"";"";"Carel";"Carel.Balcao4.TagOffsetSensorUm4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagTipoSensor4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;120;;;;;"";"";"Carel";"Carel.Balcao4.TagTipoSensor4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagSetAlarmeBaixo4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;19;;;;;"";"";"Carel";"Carel.Balcao4.TagSetAlarmeBaixo4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagSetAlarmeAlto4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;20;;;;;"";"";"Carel";"Carel.Balcao4.TagSetAlarmeAlto4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagSetPointTempInterna4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;4;;;;;"";"";"Carel";"Carel.Balcao4.TagSetPointTempInterna4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagStatusSaida4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;227;;;;;"";"";"Carel";"Carel.Balcao4.TagStatusSaida4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagDiaLigar4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;206;;;;;"";"";"Carel";"Carel.Balcao4.TagDiaLigar4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagHoraLigar4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;207;;;;;"";"";"Carel";"Carel.Balcao4.TagHoraLigar4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagMinutoLigar4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;208;;;;;"";"";"Carel";"Carel.Balcao4.TagMinutoLigar4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagDiaDesligar4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;209;;;;;"";"";"Carel";"Carel.Balcao4.TagDiaDesligar4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagHoraDesligar4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;210;;;;;"";"";"Carel";"Carel.Balcao4.TagHoraDesligar4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagMinutoDesligar4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;211;;;;;"";"";"Carel";"Carel.Balcao4.TagMinutoDesligar4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagAjustaAno4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;101;;;;;"";"";"Carel";"Carel.Balcao4.TagAjustaAno4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
IOTag;"Balcao4.TagAjustaMes4";1;;True;True;1000;0;;"";;;True;False;;False;"";1000;0;False;4;1;0;102;;;;;"";"";"Carel";"Carel.Balcao4.TagAjustaMes4";"C:\\Users\\Giovani\\Documents\\InfoIntelligence\\Projetos\\controltech\\loja8\\loja8\\supervisóriol8.prj";0;;1000;;;False;;;
